Job Title,Company,Location,Experience,Min Experience,Max Experience,Salary Label,Min Salary (INR),Max Salary (INR),Job Role,Skills
Data Analyst,Tele Infotech,Pimpri-Chinchwad,0-1 Yrs,0,1,2.5-5 Lacs,250000.0,500000.0,Data Science & Analytics - Other,"Large Databases, Google Data Studio, Data Management, Data Cleansing, Tableau, Looker, Machine Learning, Statistics, Data Analysis Expressions, MS Office Suite, Power Bi"
Data Analyst,Tele Infotech,Pimpri-Chinchwad,0-2 Yrs,0,2,2.75-5 Lacs,275000.0,500000.0,Data Science & Analytics - Other,"Large Databases, Google Data Studio, data vis, Data Interpretation, Data Management, Data Cleansing, Tableau, Looker, data ana, Google Suite, Google Sheets"
Data Analyst,Tele Infotech,Pimpri-Chinchwad,0-2 Yrs,0,2,2-5 Lacs,200000.0,500000.0,Data Science & Analytics - Other,"Large Databases, Google Data Studio, Data Management, Data Cleansing, Tableau, Looker, Machine Learning, Statistics, Data Analysis Expressions, MS Office Suite, Power Bi"
Data Analyst (English Required),Peroptyx,Mumbai (All Areas),0-5 Yrs,0,5,Not Disclosed,0.0,0.0,Data Science & Analytics - Other,"English, Data Analytics, Data Mapping, Data Analysis"
Walk-in || Data Analyst/AI-ML,Codepanda Academy,Noida,1-6 Yrs,1,6,4.5-9.5 Lacs,450000.0,950000.0,Data Scientist,"Artificial Intelligence, Data Analysis, Aiml, Data Analytics, Machine Learning, Data Science"
Data Analyst,Careernet,Hyderabad,5-8 Yrs,5,8,Not Disclosed,0.0,0.0,Data Analyst,Data Management
Fresher - Data Analyst,Gravitix Tech Solutions Inc,Visakhapatnam,0-1 Yrs,0,1,Not Disclosed,0.0,0.0,Data Analyst,"Computer science, Data analysis, Data validation, Data modeling, Analytical, data visualization, Business intelligence, Internship, SQL, Python"
Data Analyst,Irama Global Services,Uzbekistan,0-2 Yrs,0,2,Not Disclosed,0.0,0.0,Data Science & Analytics - Other,"Data Analysis, Advanced Ms Excel, SQL, SAP"
Online Data Analyst - Kannada,TELUS Digital,Bengaluru,0-2 Yrs,0,2,Not Disclosed,0.0,0.0,Data Analyst,"Online Data Analysis, quality assurance, AI models, machine learning, Data Analysis"
Data Analyst,Pinkerton,Gurugram,2-5 Yrs,2,5,Not Disclosed,0.0,0.0,Data Analyst,"python, data analysis, data analytics, analytical, insights, strong analytical skills, data integrity, dashboards, data collection, sql"
Data Analyst Defence Tender & Procurement,Crystal Works,New Delhi,3-8 Yrs,3,8,3.5-4.75 Lacs,350000.0,475000.0,Data Science & Analytics - Other,"Advanced Analytics, Analytics, Defence, Data Analytics"
Data Analyst,CGI,Hyderabad,5-8 Yrs,5,8,Not Disclosed,0.0,0.0,Data Science & Analytics - Other,"Statistical Modeling, Data Visualization"
Data Analyst,Shell Infotech,Gandhinagar,2-4 Yrs,2,4,3-4 Lacs,300000.0,400000.0,Data Science & Analytics - Other,Data Management
Data Analyst,Innova Solutions,Hyderabad,7-12 Yrs,7,12,Not Disclosed,0.0,0.0,Data Analyst,"Segmentation, Data Analysis, Banking Analytics"
Data Analyst,Inito,Bengaluru,1-3 Yrs,1,3,Not Disclosed,0.0,0.0,Data Analyst,"database maintenance, python, macros, data analysis, data analytics, data mining, predictive analytics, power bi, process improvement, machine learning"
Data Analyst,Moder Solutions,Bengaluru,1-6 Yrs,1,6,3-7 Lacs,300000.0,700000.0,"BFSI, Investments & Trading - Other","Data Validation, Power Bi, Data Visualization, Data Extraction, SQL, Data Analytics"
Data Analyst,SKP Knowledge Services,Erode,1-2 Yrs,1,2,Not Disclosed,0.0,0.0,Data Analyst,"database maintenance, data analysis, data analytics, pivot table, business analysis, problem solving, process improvement, vlookup, dashboards, data collection"
Data Analyst,ABB,Bengaluru,2-4 Yrs,2,4,Not Disclosed,0.0,0.0,Data Analyst,"Business Intelligence, Automation, Data Engineering, Power Bi, Finance, Programming, Data Collection, Tableau, Analytics, Sql, Data Analyst"
Data Analyst,Talent Corner Hr Services,Bengaluru,2-4 Yrs,2,4,4-8 Lacs,400000.0,800000.0,Data Analyst,"Data Analytics, Power Query, SQL, Python, Power Bi"
DATA ANALYST,Godigi Infotech,Pune,0-1 Yrs,0,1,Unpaid,,,Data Analyst,"Data analysis, MySQL, Data collection, Data processing, power bi, Data quality, Data analytics, Data mining, Internship, SQL"
Data Analyst,ABB,Bengaluru,2-4 Yrs,2,4,Not Disclosed,0.0,0.0,Data Analyst,"Business Intelligence, Automation, Data Engineering, Power Bi, Finance, Programming, Data Collection, Tableau, Analytics, Sql, Data Analyst"
DATA ANALYST,Godigi Infotech,Pune,0-1 Yrs,0,1,Unpaid,,,Data Analyst,"Data analysis, MySQL, Data collection, Data processing, power bi, Data quality, Data analytics, Data mining, Internship, SQL"
Data Analyst,Bima Kavach,Bengaluru,1-3 Yrs,1,3,Not Disclosed,0.0,0.0,Data Analyst,"database maintenance, python, data analysis, data analytics, predictive analytics, problem solving, machine learning, dashboards, sql, excel"
Data Analyst,Moder Solutions,Bengaluru,1-6 Yrs,1,6,3-7 Lacs,300000.0,700000.0,"BFSI, Investments & Trading - Other","Data Validation, Power Bi, Data Visualization, Data Extraction, SQL, Data Analytics"
Procurement Data Analyst,Empoweringcpo Services,Ahmedabad,1-3 Yrs,1,3,3-4.5 Lacs,300000.0,450000.0,Data Analyst,"Spend Analysis, Data Analytics, Excel Report Preparation, Strategic Sourcing"
Data Analyst,Talent Corner Hr Services,Bengaluru,2-4 Yrs,2,4,4-8 Lacs,400000.0,800000.0,Data Analyst,"Data Analytics, Power Query, SQL, Python, Power Bi"
Data Analyst,the Sleep Company,Mumbai,2-3 Yrs,2,3,Not Disclosed,0.0,0.0,Data Science & Analytics - Other,"Data Analysis, Data Analytics"
Data Analyst,bp,Pune,3-6 Yrs,3,6,12-15 Lacs,1200000.0,1500000.0,Data Analyst,"Sql Joins, Dashboards, Power Bi"
Data Analyst,Inito,Bengaluru,1-3 Yrs,1,3,Not Disclosed,0.0,0.0,Data Analyst,"database maintenance, python, macros, data analysis, data analytics, data mining, predictive analytics, power bi, process improvement, machine learning"
Data Analyst,SKP Knowledge Services,Erode,1-2 Yrs,1,2,Not Disclosed,0.0,0.0,Data Analyst,"database maintenance, data analysis, data analytics, pivot table, business analysis, problem solving, process improvement, vlookup, dashboards, data collection"
Online Data Analyst Odia (IN),TELUS Digital,India,0-5 Yrs,0,5,Not Disclosed,0.0,0.0,Data Analyst,"Language Editing, Power Bi, Artificial Intelligence, Content Writing, content, editing, Teaching, Content Editing, language expert, Data Analytics, Oriya"
Data Analyst,Fairdeal Market,Gurugram,2-4 Yrs,2,4,Not Disclosed,0.0,0.0,Data Analyst,"database maintenance, python, macros, data analysis, data analytics, predictive analytics, power bi, dashboards, sql, excel"
Data Analyst,Northern Arc Capital,Chennai,2-4 Yrs,2,4,7-10 Lacs,700000.0,1000000.0,Data Engineer,"SQL, Data Analytics"
Data Analyst,AMS,Pune,2-7 Yrs,2,7,Not Disclosed,0.0,0.0,Data Analyst,"Power Bi, Data Visualization, Dashboards, Data Mining"
Data Analyst,Prospect Info Solution,Noida,1-5 Yrs,1,5,Not Disclosed,0.0,0.0,Data Analyst,"python, macros, data analysis, data analytics, data management, data mining, predictive analytics, power bi, machine learning, sql"
Data Analyst,Share India Fincap Pvt Ltd.,Noida,2-5 Yrs,2,5,3.5-5 Lacs,350000.0,500000.0,Analyst - Financial Planning & Analysis,"Dax Queries, Financial Analysis, Financial Reporting, Oracle SQL, Python Framework, Python Data Analytics, Technical Analysis, Advanced Excel, Power Bi"
Data Analyst,TMF Group,Pune,4-9 Yrs,4,9,Not Disclosed,0.0,0.0,Finance - Other,"Financial Analysis, Power Bi, Data Analysis, Data Analytics, Excel"
Data Analyst,Lloyds Offshore Global Services,Hyderabad,8-15 Yrs,8,15,Not Disclosed,0.0,0.0,Data Analyst,"Customer Advisor, Change management, Data management, Management systems, IT security, Strategic planning, Support services, Data Analyst, Data analytics, Risk management"
Data Analyst,Innova Solutions,Hyderabad,7-12 Yrs,7,12,Not Disclosed,0.0,0.0,Data Analyst,"Segmentation, Data Analysis, Banking Analytics"
Data Analyst (With Python),Coforge,Noida,2-4 Yrs,2,4,Not Disclosed,0.0,0.0,Data Analyst,"Healthcare Domain, python, Tableau, ETL, Data Analytics, Power Bi"
Data Analyst,ADA Global,Bengaluru,0-1 Yrs,0,1,Not Disclosed,0.0,0.0,Data Analyst,"python, data analysis, data analytics, power bi, data warehousing, dashboards, business intelligence, sql, excel, tableau"
Data Analyst,Cognizant,Hyderabad,4-9 Yrs,4,9,Not Disclosed,0.0,0.0,Data Science & Analytics - Other,"SQL, Tableau"
Data Analyst,Sisco Jobs,Thrissur,0-1 Yrs,0,1,Not Disclosed,0.0,0.0,Data Analyst,"IT services, QA, Basic, Data analysis, Manager Quality Assurance, Analytical, Data collection, Data processing, Data Analyst, Analytics"
Data Analyst,CES LTD,Hyderabad,3-6 Yrs,3,6,Not Disclosed,0.0,0.0,Data Platform Engineer,Data Visualization
Data Analyst,Edgemed Healthcare,Mumbai,1-4 Yrs,1,4,Not Disclosed,0.0,0.0,Data Analyst,"database maintenance, python, data analysis, data analytics, sas, predictive analytics, problem solving, process improvement, machine learning, sql"
Data Analyst,Ample Softech System,Nagpur,0-3 Yrs,0,3,"50,000-2.5 Lacs",50000.0,250000.0,Data Analyst,"Data Management, Tableau, SQL, Power Bi"
Data Scientist / Data Engineer / Data Analyst,Indium Corporation,Remote,5-10 Yrs,5,10,Not Disclosed,0.0,0.0,Data Engineer,"IT services, Performance tuning, GIT, Data modeling, Analytical, Machine learning, Data processing, Apache, Monitoring, Python"
Data Analyst,BVC Logistics,Mumbai (All Areas),2-5 Yrs,2,5,Not Disclosed,0.0,0.0,Data Science & Analytics - Other,"Data Analysis, Tableau, Data Analytics"
Data Analyst,Movate Technologies,Gurugram,5-7 Yrs,5,7,18-20 Lacs,1800000.0,2000000.0,Data Engineer,"Snowflake, Data Analysis, Tableau, Sigma Js, Python, SQL, Power Bi"
Data Analyst,Ascendion Engineering,Mumbai,2-7 Yrs,2,7,Not Disclosed,0.0,0.0,Data Analyst,"MS Office Suite, Cognos, Tableau, Data Mining"
Data Analyst,NNE,Bengaluru,2-7 Yrs,2,7,Not Disclosed,0.0,0.0,Data Analyst,"Computer science, Pharma, Analytical, Business analytics, power bi, microsoft, Business intelligence, SQL, Python, Visual Design"
Data Analyst,KMZ Services,Mumbai (All Areas),4-9 Yrs,4,9,13-17 Lacs,1300000.0,1700000.0,Data Science & Analytics - Other,Kafka
Data Analyst (IoT),Log9 Materials,Bengaluru,0-6 Yrs,0,6,Not Disclosed,0.0,0.0,Data Analyst,"SAS, big data analytics, Data Analyst, Customer service, Business intelligence, Macros, Analytics, Reporting tools, SQL, Python"
Data Analyst,Themathcompany,Bengaluru,4-6 Yrs,4,6,Not Disclosed,0.0,0.0,Data Analyst,"SAP, Data modeling, Analytical, Machine learning, Data quality, Troubleshooting, JIRA, Analytics, SQL, Python"
Data Analyst,Cradlepoint,Noida,6-11 Yrs,6,11,Not Disclosed,0.0,0.0,Data Analyst,"Telecom, Data analysis, Automation, Analytical, Process improvement, Operations, SAP BI, Auditing, Service operations, Python"
Salesforce Data Analyst,Luxoft,Pune,3-7 Yrs,3,7,Not Disclosed,0.0,0.0,Data Analyst,"data analytics, data analysis, sla, sla tracking, data migration, subject matter expert, financial services, reconciliation, salesforce, analytics, data analyst"
